Benefits TC,,,,,526,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assigned,,Test Case,,,SKU,,,,,,,,,,,,,,,,Test results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,,Model,,SKU or Base SKU,SKU,URL,Premium Count,Status,Trade-in,Galaxy Credits,Premium 1,Premium 2,Premium 3,Premium 4,Premium 5,Premium 6,Premium 7,Premium 8,No-trade-in,No-trade-in,SKU,Raw,HTMLify,Check Extra Premiums - Status,Check Extra Premiums - Status,,,,,,,,,,,,,,,,,,,,,,,,Checking Missing Premiums - Status,Reason of fail,Trade-in,,Galaxy Credit,,Premium 1,,Premium 2,,Premium 3,,Premium 4,,Premium 5,,Premium 6,,Premium 7,,Premium 8,,No trade-in,,No trade-in,,Other,,,Join,
,,,EOL,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,,
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black",,"SM-S9380, 1TB",SM-S9380ZKWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZKWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Gray",,"SM-S9380, 1TB",SM-S9380ZTWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZTWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Silverblue",,"SM-S9380, 1TB",SM-S9380ZBWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZBWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Whitesilver",,"SM-S9380, 1TB",SM-S9380ZSWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZSWTGY?R=20250213111307,0,OOS (Blocked),700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Jetblack, exclusive",,"SM-S9380, 1TB",SM-S9380AKWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380AKWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Jadegreen, exclusive",,"SM-S9380, 1TB",SM-S9380ZGWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZGWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 1TB+16GB, Titanium Pinkgold, exclusive",,"SM-S9380, 1TB",SM-S9380ZDWTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZDWTGY?R=20250213111307,0,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Black",,"SM-S9380, 512GB",SM-S9380ZKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZKGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Gray",,"SM-S9380, 512GB",SM-S9380ZTGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZTGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Silverblue",,"SM-S9380, 512GB",SM-S9380ZBGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZBGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver",,"SM-S9380, 512GB",SM-S9380ZSGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZSGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Jetblack, exclusive",,"SM-S9380, 512GB",SM-S9380AKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380AKGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
Test,MX,"Galaxy S25 Ultra, 512GB+12GB, Titanium Jadegreen, exclusive",,"SM-S9380, 512GB",SM-S9380ZGGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25-ultra/buy/?modelCode=SM-S9380ZGGTGY?R=20250213111307,1,Failed,700,350,,,,,,,,,Z-EP-T4511XBEGGB-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 Trade-in,Failed,350 Galaxy Credit,Failed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,,Passed,T4511,Failed,,Passed,,Passed,,"<br><br><br><br><br><br><br><br>45W 旅行充電器 T4511<br>額外港幣$700 Trade-in回贈<br>送港幣$350 Galaxy Credit網上消費額<br>優惠期只至<br>👍消費滿HK$2,000 即可享高達36個月免息分期<br>&信用卡回贈【條款及細則】【優惠詳情】","
45W 旅行充電器 T4511
額外港幣$700 Trade-in回贈
送港幣$350 Galaxy Credit網上消費額
優惠期只至
👍消費滿HK$2,000 即可享高達36個月免息分期
&信用卡回贈【條款及細則】【優惠詳情】"
