Bundle & Codes,,,,,,123,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,SKU ARRAY,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward / Extra Discount,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
1,2,3,4,5,6,,8,9,10,11,,13,14,15,16,17,,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,36,37,38,39,40,,,43,44,45,46,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,"ARRAY_CONSTRAIN(ARRAYFORMULA(IFERROR(XLOOKUP(M4:M,'SKU-REF'!A:A,'SKU-REF'!O:O),"""")),2000,1)",,,,,,,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
MX Critcal Jul,,Perfect Partner,,,,Jul 1-31,,,,,,,B2C,"
",,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP WU 2024 
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-L705FDAATGY, SM-S9360ZKGTGY",SM-L705FDAATGY,B2C,"
0",SM-L705FDAATGY,2,0,0,"5,098","4,298","4,298",,,0,300.00,500,RRP,"4,298.00","4,298.00",0.00,0.00,0.00,0.00,"7,998.00",0.00,0.00,"7,998.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",,,SM-S9360ZKGTGY,B2C,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,998","7,998",300,,300,,,,,"7,998.00","7,998.00",0.00,,"7,998.00",,,"7,998.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP X2
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,X2 (2025) Titanium Blue [SM-L705FZB1TGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L705FZB1TGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L705FZB1TGY, SM-A5660ZKDTGY",SM-L705FZB1TGY,B2C,"
0",SM-L705FZB1TGY,2,0,0,"5,098",,"5,098",0,,0,200.00,500,RRP,"4,598.00","4,598.00",-500.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (LTE), Silver [SM-L315FZSATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L315FZSATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L315FZSATGY, SM-A5660ZKDTGY",SM-L315FZSATGY,B2C,"
0",SM-L315FZSATGY,2,0,0,"2,598","2,398","2,398",,,0,200.00,200,RRP,"2,398.00","2,398.00",0.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (BT), Green [SM-L310NZGATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L310NZGATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L310NZGATGY, SM-A5660ZKDTGY",SM-L310NZGATGY,B2C,"
",SM-L310NZGATGY,2,2,"4,396","2,198","1,998","1,998",,,0,200.00,200,RRP,"1,998.00","1,998.00","3,996.00","3,996.00","3,996.00","3,796.00","7,494.00",0.00,"3,796.00","7,494.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (LTE), Cream [SM-L305FZEATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L305FZEATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L305FZEATGY, SM-A5660ZKDTGY",SM-L305FZEATGY,B2C,"
0",SM-L305FZEATGY,2,0,0,"2,398","2,198","2,198",,,0,200.00,200,RRP,"2,198.00","2,198.00",0.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
