Bundle EPP,,,,,,96,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty,GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Auto Test Results,Duration
,,,4,5,,,8,9,,,,,,,,,,,,,"549,585",,,,,,,#REF!,"536,345.60",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,#REF!,#REF!,#REF!,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
,MX Critcal  Bundle,,,,,May 1 - 31,,,,,,,EPP,"
",,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-01,SMP WU,,,,1,Add all to cart using this link,,,"Galaxy Watch Ultra, Titanium Gray",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-L705FDAATGY, SM-S9360ZKGTGY",SM-L705FDAATGY,EPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,300,10%,NRP,"3,441.60","3,441.60","3,441.60","3,441.60","3,441.60","3,141.60","10,277.60",150.00,"3,095.75","10,127.60",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive",,,SM-S9360ZKGTGY,EPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,300,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,
MXBUN-02,SMP W7 44LTE,,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (LTE), Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-L315FZSATGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-L315FZSATGY, SM-S9360ZKGTGY",SM-L315FZSATGY,EPP,"
",SM-L315FZSATGY,1,1,"2,998","2,998","2,249","2,249",,,0,300,10%,NRP,"2,024.10","2,024.10","2,024.10","2,024.10","2,024.10","1,724.10","8,860.10",150.00,"1,694.91","8,710.10",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive",,,SM-S9360ZKGTGY,EPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,300,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,
MXBUN-03,SMP W7 44WF,,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (BT), Green",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-L310NZGATGY&&products[0].quantity=1&&products[1].productCode=SM-S9310ZDHTGY&&products[1].quantity=1,"SM-L310NZGATGY, SM-S9310ZDHTGY",SM-L310NZGATGY,EPP,"
",SM-L310NZGATGY,1,1,"2,598","2,598","1,949","1,949",,,0,300,10%,NRP,"1,754.10","1,754.10","1,754.10","1,754.10","1,754.10","1,454.10","7,317.10",150.00,"1,424.29","7,167.10",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25, 512GB+8GB, Pinkgold, exclusive",,,SM-S9310ZDHTGY,EPP,"
",SM-S9310ZDHTGY,1,1,"6,898","6,898","5,863","5,863",300,,300,,,,,"5,863.00","5,863.00",0.00,,"5,863.00",,,"5,863.00",,,,,,,,,,,,,,,,,,,
MXBUN-04,SMP W7 40LTE,,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (LTE), Cream",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-L305FZEATGY&&products[0].quantity=1&&products[1].productCode=SM-F9560AKDTGY&&products[1].quantity=1,"SM-L305FZEATGY, SM-F9560AKDTGY",SM-L305FZEATGY,EPP,"
",SM-L305FZEATGY,1,1,"2,798","2,798","2,099","2,099",,,0,500,10%,NRP,"1,889.10","1,889.10","1,889.10","1,889.10","1,889.10","1,389.10","11,468.10",150.00,"1,370.93","11,318.10",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Z Fold6, 256GB+12GB, Crafted Black (eStore)",,,SM-F9560AKDTGY,EPP,"
",SM-F9560AKDTGY,1,1,"14,398","14,398","10,079","10,079",500,,500,,,,,"10,079.00","10,079.00",0.00,,"10,079.00",,,"10,079.00",,,,,,,,,,,,,,,,,,,
MXBUN-05,SMP W7 40WF,,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (BT), Cream",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-L300NZEATGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-L300NZEATGY, SM-S9360ZKGTGY",SM-L300NZEATGY,EPP,"
",SM-L300NZEATGY,1,1,"2,398","2,398","1,799","1,799",,,0,300,10%,NRP,"1,619.10","1,619.10","1,619.10","1,619.10","1,619.10","1,319.10","8,455.10",150.00,"1,295.70","8,305.10",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive",,,SM-S9360ZKGTGY,EPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,300,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,
MXBUN-06,SMP B3P,,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-S9280ZTGTGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-S9280ZTGTGY",SM-R630NZAATGY,EPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,500,500,RRP,"1,498.00","1,498.00","1,498.00","1,498.00","1,498.00",998.00,"8,276.00",150.00,979.91,"8,126.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S24 Ultra, 256GB, Titanium Gray",,,SM-S9280ZTGTGY,EPP,"
",SM-S9280ZTGTGY,1,1,"9,098","9,098","7,278","7,278",500,,500,,,,,"7,278.00","7,278.00",0.00,,"7,278.00",,,"7,278.00",,,,,,,,,,,,,,,,,,,
MXBUN-07,S25 B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-S9380ZSGTGY",SM-R530NZAATGY,EPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,350,899,RRP,499.00,499.00,499.00,0.00,0.00,499.00,"9,544.00",150.00,491.16,"9,394.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver",,,SM-S9380ZSGTGY,EPP,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","9,045","9,045",350,,350,,,,,"9,045.00","9,045.00",0.00,,"9,045.00",,,"9,045.00",,,,,,,,,,,,,,,,,,,
MXBUN-08,SMP B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-A5660ZADTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-A5660ZADTGY",SM-R530NZAATGY,EPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,200,500,RRP,898.00,898.00,898.00,0.00,0.00,898.00,"3,897.00",150.00,863.43,"3,747.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Lightgray",,,SM-A5660ZADTGY,EPP,"
",SM-A5660ZADTGY,1,1,"3,698","3,698","2,999","2,999",200,,200,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,
MXBUN-08,S25FF Ring,,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9380ZSGTGY",SM-Q509NZDATGY,EPP,"
",SM-Q509NZDATGY,1,1,"3,298","3,298","1,979","1,979",,,0,350,600,RRP,"1,979.00","1,979.00","1,979.00",0.00,0.00,"1,979.00","11,024.00",150.00,"1,952.07","10,874.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver",,,SM-S9380ZSGTGY,EPP,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","9,045","9,045",350,,350,,,,,"9,045.00","9,045.00",0.00,,"9,045.00",,,"9,045.00",,,,,,,,,,,,,,,,,,,
MXBUN-08,Non-S25FF Ring,,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9280LGHTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9280LGHTGY",SM-Q509NZDATGY,EPP,"
",SM-Q509NZDATGY,1,1,"3,298","3,298","1,979","1,979",,,0,500,,,,"1,979.00","1,979.00",0.00,0.00,"1,979.00","10,057.00",150.00,"1,949.48","9,907.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S24 Ultra, 512GB, Titanium Green (eStore)",,,SM-S9280LGHTGY,EPP,"
",SM-S9280LGHTGY,1,1,"10,098","10,098","8,078","8,078",500,,500,,,,,"8,078.00","8,078.00",0.00,,"8,078.00",,,"8,078.00",,,,,,,,,,,,,,,,,,,
MXBUN-09,WU B3P,,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L705FDAATGY",SM-R630NZAATGY,EPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,0,,,,"1,499.00","1,499.00","1,499.00","4,997.00","1,499.00","4,997.00",150.00,"1,454.00","4,847.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Watch Ultra, Titanium Gray",,,SM-L705FDAATGY,EPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,,1600,RRP,"3,498.00","3,498.00","3,498.00","3,498.00",,"3,498.00",,,"3,498.00",,,,,,,,,,,,,,,,,,,
MXBUN-10,WU B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L705FDAATGY",SM-R530NZAATGY,EPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,0,,,,"1,049.00","1,049.00",0.00,"3,498.00","1,049.00","4,547.00",150.00,"1,014.39","4,397.00",,,,,,,,,,,,,,,,,,
