MX Premiums,,B2C,,B2C Cart Link,ex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-US936CTEGWW,Z-AVDAVOUCHER,EF-US936CTEGWW,Z-AVDAVOUCHER,EF-VS931PBEGWW / EF-VS931PJEGWW/ EF-VS931PLEGWW / EF-VS931PFEGWW,Z-AVDAVOUCHER,EF-VS931PBEGWW / EF-VS931PJEGWW/ EF-VS931PLEGWW / EF-VS931PFEGWW,Z-AVDAVOUCHER,Z-AVDAVOUCHER,Z-AVDAVOUCHER,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS926CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS926CUEGWW,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITFITPW28-M,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL70MBEGWW-M,Z-ITFITPW03,Z-ITFITAC01,Z-ITFITAC01
1,2,3,4,5,6,7,,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case ID,Premium SKU,Premium Name,Add to Cart link,Add to Cart link,Status,Expected Count,Expected SKUs in cart,,Time,Line,Case,Premium SKU,Actual Count,Main SKU Count,Main SKU Count,Premium Result,Result,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,0,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-3,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,"1 x  Galaxy S25 Ultra, Kindsuit Case (pick 1)",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZGWTGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZGGTGY&&products[1].quantity=1&&products[2].productCode=SM-S9380ZGDTGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"SM-S9380ZGWTGY, SM-S9380ZGGTGY, SM-S9380ZGDTGY","
",,,,,,,,,,,SM-S9380ZGWTGY,SM-S9380ZGGTGY,SM-S9380ZGDTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-4,Z-AVDAVOUCHER,1 x  TV & Home Apppliances Voucher,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZGWTGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZGGTGY&&products[1].quantity=1&&products[2].productCode=SM-S9380ZGDTGY&&products[2].quantity=1&&products[3].productCode=SM-S9360ZKGTGY&&products[3].quantity=1&&products[4].productCode=SM-S9360ZKDTGY&&products[4].quantity=1&&products[5].productCode=SM-S9310ZKHTGY&&products[5].quantity=1&&products[6].productCode=SM-S9310ZKGTGY&&products[6].quantity=1&&products[7].productCode=SM-S9370ZSGTGY&&products[7].quantity=1&&products[8].productCode=SM-S9370ZSDTGY&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,9,"SM-S9380ZGWTGY, SM-S9380ZGGTGY, SM-S9380ZGDTGY, SM-S9360ZKGTGY, SM-S9360ZKDTGY, SM-S9310ZKHTGY, SM-S9310ZKGTGY, SM-S9370ZSGTGY, SM-S9370ZSDTGY","
",,,,,,,,,,,SM-S9380ZGWTGY,SM-S9380ZGGTGY,SM-S9380ZGDTGY,SM-S9360ZKGTGY,SM-S9360ZKDTGY,SM-S9310ZKHTGY,SM-S9310ZKGTGY,SM-S9370ZSGTGY,SM-S9370ZSDTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-5,EF-US936CTEGWW,"1 x  Galaxy S25+, Anti-Reflecting Screen Protector, Transparency",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9360ZKGTGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZKDTGY&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"SM-S9360ZKGTGY, SM-S9360ZKDTGY","
",,,,,,,,,,,SM-S9360ZKGTGY,SM-S9360ZKDTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-6,EF-VS931PBEGWW / EF-VS931PJEGWW/ EF-VS931PLEGWW / EF-VS931PFEGWW,"1 x  Galaxy S25, Kindsuit Case",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9310ZKHTGY&&products[0].quantity=1&&products[1].productCode=SM-S9310ZKGTGY&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"SM-S9310ZKHTGY, SM-S9310ZKGTGY","
",,,,,,,,,,,SM-S9310ZKHTGY,SM-S9310ZKGTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-7,Z-EP-T4511XBEGGB-M,1 x 45W PD Power Adapter T4511,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-F9560AKHTGY&&products[0].quantity=1&&products[1].productCode=SM-F9560ZSHTGY&&products[1].quantity=1&&products[2].productCode=SM-F9560AKGTGY&&products[2].quantity=1&&products[3].productCode=SM-F9560ZSGTGY&&products[3].quantity=1&&products[4].productCode=SM-F9560AKDTGY&&products[4].quantity=1&&products[5].productCode=SM-F9560DBDTGY&&products[5].quantity=1&&products[6].productCode=SM-S9280LGPTGY&&products[6].quantity=1&&products[7].productCode=SM-S9280ZKHTGY&&products[7].quantity=1&&products[8].productCode=SM-S9280LBGTGY&&products[8].quantity=1&&products[9].productCode=SM-S9260ZKDTGY&&products[9].quantity=1&&products[10].productCode=SM-S9260LBDTGY&&products[10].quantity=1&&products[11].productCode=SM-S9210ZAHTGY&&products[11].quantity=1&&products[12].productCode=SM-S9210ZKGTGY&&products[12].quantity=1&&products[13].productCode=SM-S7210ZAGTGY&&products[12].quantity=1,Add to Cart,,14,"SM-F9560AKHTGY, SM-F9560ZSHTGY, SM-F9560AKGTGY, SM-F9560ZSGTGY, SM-F9560AKDTGY, SM-F9560DBDTGY, SM-S9280LGPTGY, SM-S9280ZKHTGY, SM-S9280LBGTGY, SM-S9260ZKDTGY, SM-S9260LBDTGY, SM-S9210ZAHTGY, SM-S9210ZKGTGY, SM-S7210ZAGTGY","
",,,,,,,,,,,SM-F9560AKHTGY,SM-F9560ZSHTGY,SM-F9560AKGTGY,SM-F9560ZSGTGY,SM-F9560AKDTGY,SM-F9560DBDTGY,SM-S9280LGPTGY,SM-S9280ZKHTGY,SM-S9280LBGTGY,SM-S9260ZKDTGY,SM-S9260LBDTGY,SM-S9210ZAHTGY,SM-S9210ZKGTGY,SM-S7210ZAGTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-8,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,1 x  Free Kindsuit Case,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-F7410AKETGY&&products[0].quantity=1&&products[1].productCode=SM-F7410LBETGY&&products[1].quantity=1&&products[2].productCode=SM-F7410AKATGY&&products[2].quantity=1&&products[3].productCode=SM-F7410LBATGY&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,4,"SM-F7410AKETGY, SM-F7410LBETGY, SM-F7410AKATGY, SM-F7410LBATGY","
",,,,,,,,,,,SM-F7410AKETGY,SM-F7410LBETGY,SM-F7410AKATGY,SM-F7410LBATGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
